 Secretaría; Cód; Departamento; CódMun; Municipio; Código; Nombre;  Dirección; Teléfono; Nombre Rector; Tipo Establecimiento; Sector; Zona; Jornadas; Niveles; Grados;No. Sede; Cal; Correo Electrónico
ANTIOQUIA;5;ANTIOQUIA;5490;NECOCLÍ;205490000900;I. E. R. LAS CHANGAS;CORREG. LAS CHANGAS;8245286;HINESTROZA MORENO FRANCISCO ANTONIO;INSTITUCION EDUCATIVA;OFICIAL;RURAL;MAÑANA,TARDE,FIN DE SEMANA;PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA;0,1,2,3,4,5,6,7,8,9,10,11,22,23,24,25,26,99;8;A;ier-changas@hotmail.com
ANTIOQUIA;5;ANTIOQUIA;5490;NECOCLÍ;205490001337;I. E. R. TULAPITA;VDA. TULAPITA;824 56 53;HERNANDEZ CASTRO URIEL ANGEL;INSTITUCION EDUCATIVA;OFICIAL;RURAL;MAÑANA,COMPLETA,FIN DE SEMANA;PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA;0,1,2,3,4,5,6,7,8,9,10,11,21,22,23,24,25,26,99;8;A;tulapita@tareanet.edu.co
ANTIOQUIA;5;ANTIOQUIA;5490;NECOCLÍ;205490001639;I.E.R.INDIGENA JOSE ELIAS SUAREZ;RESG EL VOLADO;8245286;SUAREZ SANTOS LEIDIS MARGOT;INSTITUCION EDUCATIVA;OFICIAL;RURAL;MAÑANA,FIN DE SEMANA;PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA;0,1,2,3,4,5,6,7,8,9,10,11,21,23,24;1;A;ierjoseeliassuarez@hotmail.com
ANTIOQUIA;5;ANTIOQUIA;5250;EL BAGRE;205250001739;I. E. R. PUERTO LOPEZ;CORREG PUERTO LOPEZ;8370109 y 3136347954;GARCIA COSSIO NANCY ROCIO;INSTITUCION EDUCATIVA;OFICIAL;RURAL;MAÑANA,NOCTURNA,TARDE,FIN DE SEMANA;PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA;0,1,2,3,4,5,6,7,8,9,10,11,21,22,23,24,25,26;4;A;ierpuertolopez@hotmail.com
ANTIOQUIA;5;ANTIOQUIA;5284;FRONTINO;205284000120;I. E. R. NOBOGACITA;VDA NOBOGACITA;8595032;SEPULVEDA MUNERA TERESITA;INSTITUCION EDUCATIVA;OFICIAL;RURAL;MAÑANA,COMPLETA,NOCTURNA,TARDE;PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA;0,1,2,3,4,5,6,7,8,9,10,11,21,22;9;A;iernobogacita2014@gmail.com
ANTIOQUIA;5;ANTIOQUIA;5154;CAUCASIA;105154002274;I. E. ESCUELA NORMAL SUPERIOR DEL BAJO CAUCA;KR 20 2 00;839 01 76 y 8390143;FANNY DE JESUS LOZANO SAJONA ;INSTITUCION EDUCATIVA;OFICIAL;URBANA;COMPLETA,TARDE;PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA;-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,99;1;A;normalsupbajocauca@tareanet.edu.co
MEDELLIN;5;ANTIOQUIA;5001;MEDELLÍN;105001006068;INST EDUC DINAMARCA;CL 91 65 119;2573923;RAMIRO DE JESUS VALENCIA PATIÑO;INSTITUCION EDUCATIVA;OFICIAL;URBANA;MAÑANA,TARDE;PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA;0,1,2,3,4,5,6,7,8,9,10,11,99;3;A;iedinamarca@yahoo.esar@epm.net.co
BELLO;5;ANTIOQUIA;5088;BELLO;105088001521;IE  ZAMORA;KR 41 F 20 C 50;4610290;MARCO WALTER LONDOÑO PEREZ;INSTITUCION EDUCATIVA;OFICIAL;URBANA;MAÑANA,TARDE,FIN DE SEMANA;PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA;0,1,2,3,4,5,6,7,8,9,10,11,23,24,25;1;A;iezamoraedu@yahoo.es
MEDELLIN;5;ANTIOQUIA;5001;MEDELLÍN;105001022101;INST EDUC LAS NIEVES;CL 82 39 69;5710070;MAURICIO DE JESUS LONDOÑO LONDOÑO;INSTITUCION EDUCATIVA;OFICIAL;URBANA;MAÑANA,TARDE;PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA;0,1,2,3,4,5,6,7,8,9,10,11,99;1;A;iclasnieves@epm.net.co
MEDELLIN;5;ANTIOQUIA;5001;MEDELLÍN;105001015229;INST EDUC VILLA TURBAY;KR 2 55 F 17;2698211;LUIS FERNANDO LEON HERNANDEZ;INSTITUCION EDUCATIVA;OFICIAL;URBANA;MAÑANA,TARDE;PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA;0,1,2,3,4,5,6,7,8,9,10,11,99;1;A;ie.villaturbay@medelllin.gov.co
MEDELLIN;5;ANTIOQUIA;5001;MEDELLÍN;105001003280;INST EDUC MARIA MONTESSORI;KR 69 A 92 C 87;4712416;HERNAN DARIO QUINTANA VALDES;INSTITUCION EDUCATIVA;OFICIAL;URBANA;MAÑANA,NOCTURNA,TARDE;PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA;0,1,2,3,4,5,6,7,8,9,10,11,21,22,23,24,25,26;2;A;ie.mariamontessori@medellin.gov.co
MEDELLIN;5;ANTIOQUIA;5001;MEDELLÍN;105001006483;INST EDUC RODRIGO CORREA PALACIO;CL 103 66 63;2677445;CLARA ASTRID CEBALLOS AGUDELO;INSTITUCION EDUCATIVA;OFICIAL;URBANA;MAÑANA,TARDE;PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA;0,1,2,3,4,5,6,7,8,9,10,11;1;A;rodrigocorreapalacio@latin.co
MEDELLIN;5;ANTIOQUIA;5001;MEDELLÍN;105001011631;INST EDUC ASAMBLEA DEPARTAMENTAL;KR 27 47 45;2218962 2697703;JUAN CARLOS AGUDELO SOSA;INSTITUCION EDUCATIVA;OFICIAL;URBANA;MAÑANA,TARDE;PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA;-2,-1,0,1,2,3,4,5,6,7,8,9,10,11;2;A;ie.asamblea@gmail.com
MEDELLIN;5;ANTIOQUIA;5001;MEDELLÍN;105001020052;INST EDUC RAFAEL GARCIA HERREROS;CL 64 91 20;4263216;LUIS DANIEL QUINTERO GARCIA;INSTITUCION EDUCATIVA;OFICIAL;URBANA;MAÑANA,TARDE;PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA;0,1,2,3,4,5,6,7,8,9,10,11;1;A;iergherreros@hotmail.com
ANTIOQUIA;5;ANTIOQUIA;5480;MUTATÁ;205480000588;I. E. R. BELEN DE BAJIRA;CORREG BAJIRA ;8639089;MORENO SALAS AMANCIO;INSTITUCION EDUCATIVA;OFICIAL;RURAL;MAÑANA,COMPLETA,NOCTURNA,TARDE,FIN DE SEMANA;PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA;0,1,2,3,4,5,6,7,8,9,10,11,21,22,23,24,25,26;8;A;
MEDELLIN;5;ANTIOQUIA;5001;MEDELLÍN;105001015211;INST EDUC LA LIBERTAD;DG 17 DD 56 B 49;2267949;SANDRA ELISA ARANGO MAYA;INSTITUCION EDUCATIVA;OFICIAL;URBANA;MAÑANA,NOCTURNA,TARDE;PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA;0,1,2,3,4,5,6,7,8,9,10,11,23,24,25,26,99;1;A;ie.lalibertad@medellin.gov.co
ANTIOQUIA;5;ANTIOQUIA;5145;CARAMANTA;205145000221;C. E. R. ALVARO GOMEZ F;VDA. BUENOS AIRES;8553322;GRANADA GIRALDO HERNAN DE JESUS (DOC.P.) ;CENTRO EDUCATIVO;OFICIAL;;;;;0;A;ceralvarogomezfranco@tareanet.edu.co
ANTIOQUIA;5;ANTIOQUIA;5145;CARAMANTA;205145000239;C. E. R. PEDRO ZABALA;VDA. AGUADITA CHIQUITA;8553322;OSPINA MUÑOZ LUZ MERY (DOC.PROV.);CENTRO EDUCATIVO;OFICIAL;;;;;0;A;
ANTIOQUIA;5;ANTIOQUIA;5145;CARAMANTA;205145000255;C. E. R. PALMICHAL;VDA. PALMICHAL;8553354;MARTINEZ LOPEZ ALEIDA DE JESUS (DOC.PROV.);CENTRO EDUCATIVO;OFICIAL;;;;;0;A;cerpalmichal@tareanet.edu.co
MEDELLIN;5;ANTIOQUIA;5001;MEDELLÍN;105001012092;INST EDUC BARRIO SANTANDER;KR 78 C 104 F 78;4719980;HERNAN DARIO NANCLARES NANCLARES;INSTITUCION EDUCATIVA;OFICIAL;URBANA;MAÑANA,NOCTURNA,TARDE;PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA;0,1,2,3,4,5,6,7,8,9,10,11,23,24,25,26,99;2;A;ie.barriosantander6@gmail.com
MEDELLIN;5;ANTIOQUIA;5001;MEDELLÍN;105001002976;INST EDUC LA PIEDAD;KR 81 54 71;2347999;JESUS ANTONIO JARAMILLO ARANGO;INSTITUCION EDUCATIVA;OFICIAL;URBANA;MAÑANA,TARDE;PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA;-1,0,1,2,3,4,5,6,7,8,9,10,11;1;A;ilpiedad@educame.gov.co
MEDELLIN;5;ANTIOQUIA;5001;MEDELLÍN;105001002461;INST EDUC LUCRECIO JARAMILLO VELEZ;KR 79 38 59;4122939;JUAN CARLOS RODRIGUEZ GUAYABAN;INSTITUCION EDUCATIVA;OFICIAL;URBANA;MAÑANA,TARDE;PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA;0,1,2,3,4,5,6,7,8,9,10,11;2;A;rodriguezjuan316@gmail.com
MEDELLIN;5;ANTIOQUIA;5001;MEDELLÍN;105001002038;INST EDUC JOSE EUSEBIO CARO;KR 50 A 93 77;2362561/2364551 ;FRANCISCO JAVIER RESTREPO ROLDAN;INSTITUCION EDUCATIVA;OFICIAL;URBANA;MAÑANA,TARDE;PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA;0,1,2,3,4,5,6,7,8,9,10,11;1;A;ie.joseeusebiocaro@medellin.gov.co
MEDELLIN;5;ANTIOQUIA;5001;MEDELLÍN;105001010367;INST EDUC SANTOS ANGELES CUSTODIOS;CL 16 A 65 G 4;2357397;MARY LUZ RODRIGUEZ GIRALDO;INSTITUCION EDUCATIVA;OFICIAL;URBANA;MAÑANA,TARDE;PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA;0,1,2,3,4,5,6,7,8,9,10,11;2;A;maryrog08@yahoo.es
APARTADO;5;ANTIOQUIA;5045;APARTADÓ;105045000164;I. E. MADRE LAURA;CL 99 A 104 12;828 6051;CORDOBA PALACIOS ROSALÍA;INSTITUCION EDUCATIVA;OFICIAL;URBANA;MAÑANA,NOCTURNA,TARDE;PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA;0,1,2,3,4,5,6,7,8,9,10,11,21;2;A;madrelaura2009@hotmail.es
APARTADO;5;ANTIOQUIA;5045;APARTADÓ;105045001217;I. E. POLICARPA SALAVARRIETA;CL 104 62 30;826 39 02;SAMUEL DE JESUS VÁSQUEZ VELÁSQUEZ;INSTITUCION EDUCATIVA;OFICIAL;URBANA;MAÑANA,TARDE,FIN DE SEMANA;PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA;0,1,2,3,4,5,6,7,8,9,10,11,15,20,21,22,23,24,25,26,99;1;A;iepolicarpasalavarrieta10@hotmail.com
APARTADO;5;ANTIOQUIA;5045;APARTADÓ;105045000148;I. E. JOSE CELESTINO MUTIS;CL 108 108 82;8295674;MAZO MIRA LUIS ENRIQUE;INSTITUCION EDUCATIVA;OFICIAL;URBANA;MAÑANA,NOCTURNA,TARDE,FIN DE SEMANA;PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA;0,1,2,3,4,5,6,7,8,9,10,11,21,22,23,24,25,26,99;1;A;ie.jcmutis01@gmail.com
MEDELLIN;5;ANTIOQUIA;5001;MEDELLÍN;105001005525;INST EDUC ENRIQUE OLAYA HERRERA;CL 71 A 32 18;2911707;OSIAS DE JESUS VELASQUEZ OSORIO;INSTITUCION EDUCATIVA;OFICIAL;URBANA;MAÑANA,TARDE;PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA;0,1,2,3,4,5,6,7,8,9,10,11;1;A;enriqueolayaherrera@hotmail.com
MEDELLIN;5;ANTIOQUIA;5001;MEDELLÍN;105001015091;INST EDUC FE Y ALEGRIA GRANIZAL;KR 39 A 104 23;5293562;CARLOS ALBERTO GIRALDO ALZATE;INSTITUCION EDUCATIVA;OFICIAL;URBANA;MAÑANA,TARDE;PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA;0,1,2,3,4,5,6,7,8,9,10,11;2;A;delioria?@latinmail.com
ANTIOQUIA;5;ANTIOQUIA;5145;CARAMANTA;205145000263;C. E. R. ANITA LOPEZ DE GOMEZ;VDA. S JOSE LA GUAIRA;8553322;GARCIA AGUDELO DORIS HELENA (DOC.P.);CENTRO EDUCATIVO;OFICIAL;;;;;0;A;ceranitalopezdegomez@tareanet.edu.co
MEDELLIN;5;ANTIOQUIA;5001;MEDELLÍN;105001005339;INST EDUC MONSE?OR FRANCISCO CRISTOBAL TORO;KR 50 D 90 49;2365286;PEDRO ANTONIO AGUALIMPIA PEREA;INSTITUCION EDUCATIVA;OFICIAL;URBANA;MAÑANA,TARDE;PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA;0,1,2,3,4,5,6,7,8,9,10,11,99;3;A;
MEDELLIN;5;ANTIOQUIA;5001;MEDELLÍN;105001000205;INST EDUC SAN AGUSTIN;CL 88 A 51 B 91;2630607;HECTOR HERNAN GARCIA DUQUE;INSTITUCION EDUCATIVA;OFICIAL;URBANA;MAÑANA,TARDE;PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA;0,1,2,3,4,5,6,7,8,9,10,11;1;A;ie.sanagustin@medellin.gov.co
MEDELLIN;5;ANTIOQUIA;5001;MEDELLÍN;105001011711;INST EDUC FE Y ALEGRIA VILLA DE LA CANDELARIA;CL 77 A 90 D 35;2642310;HNA. MARTA MARIA RESTREPO PARRA;INSTITUCION EDUCATIVA;OFICIAL;URBANA;MAÑANA,TARDE;PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA;0,1,2,3,4,5,6,7,8,9,10,11;1;A;ifavcan@gmail.com
MEDELLIN;5;ANTIOQUIA;5001;MEDELLÍN;305001019690;INST EDUC ARZOBISPO TULIO BOTERO SALAZAR;CL 49 A 03 A 006;2267300;JUAN EGLANTINO DIAZ LONDOÑO;INSTITUCION EDUCATIVA;OFICIAL;URBANA;MAÑANA,TARDE,FIN DE SEMANA;PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA;0,1,2,3,4,5,6,7,8,9,10,11,22,23,24,25,26,99;2;A;ie.tuliobotero@medellin.gov.co
ANTIOQUIA;5;ANTIOQUIA;5145;CARAMANTA;205145000298;C. E. R. CAÑAS;VDA. CAÑAS;8553354;MARTHA CECILIA CLAVIJO RESTREPO ;CENTRO EDUCATIVO;OFICIAL;;;;;0;A;cercañas@tareanet.edu.co
ANTIOQUIA;5;ANTIOQUIA;5790;TARAZÁ;205790001088;I. E. LA CAUCANA;CORREG.LA CAUCANA;8365888;PAEZ REINALDO DE JESUS;INSTITUCION EDUCATIVA;OFICIAL;RURAL;MAÑANA,COMPLETA,NOCTURNA,TARDE,FIN DE SEMANA;PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA;0,1,2,3,4,5,6,7,8,9,10,11,21,22,23,24,25,26,99;4;A;cielo-adri@hotmail.com
ANTIOQUIA;5;ANTIOQUIA;5842;URAMITA;105842000382;I. E. SAN JOSE;KR 21 19 21;857 40 63 ;RUA PULGARIN ALBARO ANTONIO;INSTITUCION EDUCATIVA;OFICIAL;URBANA,RURAL;MAÑANA,COMPLETA,NOCTURNA,TARDE,FIN DE SEMANA;PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA;0,1,2,3,4,5,6,7,8,9,10,11,21,22,23,24,25,26;28;A;
ANTIOQUIA;5;ANTIOQUIA;5145;CARAMANTA;205145000344;C. E. R. JORGE LOPEZ TANGARIFE;VDA. YARUMALITO;8553322;RAMIREZ RAMIREZ LUZ MARINA ;CENTRO EDUCATIVO;OFICIAL;;;;;0;A;cerjorgelopeztangarife@tareanet.edu.co
MEDELLIN;5;ANTIOQUIA;5001;MEDELLÍN;105001010111;INST EDUC MAESTRO FERNANDO BOTERO;CL 104 72 A 80;237 12 35;CARLOS VIDAL TOBON BETANCUR;INSTITUCION EDUCATIVA;OFICIAL;URBANA;MAÑANA,TARDE;PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA;0,1,2,3,4,5,6,7,8,9,10,11;2;A;ie. maestrofernandobo@medellin.gov.co
ANTIOQUIA;5;ANTIOQUIA;5091;BETANIA;105091000012;I. E. PERLA DEL CITARA;CL 20 BOLIVAR 16 56;8435072;CUESTA GUEVARA FRANCISCO JOSE;INSTITUCION EDUCATIVA;OFICIAL;RURAL,URBANA;COMPLETA,NOCTURNA,FIN DE SEMANA;PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA;0,1,2,3,4,5,6,7,8,9,10,11,21,22,23,24,25,26,99;11;A;i.eperladelcitara@gmail.com
MEDELLIN;5;ANTIOQUIA;5001;MEDELLÍN;105001011011;INST EDUC TOMAS CARRASQUILLA NO. 2;KR 88 68 109;2641122;MARIA DEL ROSARIO OQUENDO MORENO;INSTITUCION EDUCATIVA;OFICIAL;URBANA;MAÑANA,TARDE;PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA;0,1,2,3,4,5,6,7,8,9,10,11;1;A;ie.tomascarrasquilla@medellin.gov.co
MEDELLIN;5;ANTIOQUIA;5001;MEDELLÍN;105001019194;INST EDUC EL PEDREGAL;CL 102 74 A 47;4783320;CONNY HELEN BARTH LEON;INSTITUCION EDUCATIVA;OFICIAL;URBANA;MAÑANA,TARDE;PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA;0,1,2,3,4,5,6,7,8,9,10,11;2;A;iepedregal@gmail.com
ANTIOQUIA;5;ANTIOQUIA;5890;YOLOMBÓ;205890000003;I. E. R. VILLANUEVA;CORREG. VILLANUEVA;851 42 96;METAUTE MONSALVE CARLOS ALFONSO;INSTITUCION EDUCATIVA;OFICIAL;RURAL;MAÑANA,FIN DE SEMANA;PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA;0,1,2,3,4,5,6,7,8,9,10,11,21;6;A;villanuevaalavanguardia@yahoo.es
ANTIOQUIA;5;ANTIOQUIA;5145;CARAMANTA;205145000395;C. E. R. FEDERICO EASTMAN MEJIA;VDA. LA SIRENA;8553322;RIOS ANGELA ROSIO;CENTRO EDUCATIVO;OFICIAL;;;;;0;A;cerfedericoeastmanmejia@tareanet.edu.co
ANTIOQUIA;5;ANTIOQUIA;5147;CAREPA;205147000147;I. E. R. LA CADENA;VDA. LA CADENA;823 84 52;ADMINISTRACION (DIONNY YULIETH ECHAVARRIA);INSTITUCION EDUCATIVA;OFICIAL;RURAL;MAÑANA,NOCTURNA,TARDE,FIN DE SEMANA;PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA;0,1,2,3,4,5,6,7,8,9,10,11,21,99;1;A;insticadena2012@gmail.com
ANTIOQUIA;5;ANTIOQUIA;5145;CARAMANTA;205145000492;C. E. R. MANZANARES;VDA. MANZANARES;8553322;SALDARRIAGA GUEVARA ELVIA LUCIA (DOC.P.);CENTRO EDUCATIVO;OFICIAL;;;;;0;A;cermanzanares@tareanet.edu.co
ANTIOQUIA;5;ANTIOQUIA;5079;BARBOSA;205079000885;I. E. R. EL  HATILLO;CORREG. HATILLO;4070253;GAVIRIA ARANGO JOSE ALONSO;INSTITUCION EDUCATIVA;OFICIAL;RURAL;MAÑANA,COMPLETA,NOCTURNA,TARDE,FIN DE SEMANA;PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA;0,1,2,3,4,5,6,7,8,9,10,11,21;6;A;colegha@une.net.co
ANTIOQUIA;5;ANTIOQUIA;5154;CAUCASIA;205154001922;I. E. R. VILLA FATIMA ARRIBA;VDA. QUEBRADONA ARRIBA;8308436 y 8391435;ADMINISTRACION (LIDIS DEL CARMEN FERNANDEZ HERRERA);INSTITUCION EDUCATIVA;OFICIAL;RURAL;COMPLETA,TARDE,FIN DE SEMANA;PREESCOLAR,BÁSICA SECUNDARIA,BÁSICA PRIMARIA;0,1,2,3,4,5,6,7,8,9,21;5;A;
ANTIOQUIA;5;ANTIOQUIA;5697;EL SANTUARIO;305697000581;COLEGIO PEDAGÓGICO SIGLO XXI  COCEP SIGLO XXI ;AUTOPISTA MEDELLÍN - BOGOTÁ;546 02 76;GARCÍA ZULUAGA SANDRA;CENTRO EDUCATIVO;NO OFICIAL;URBANA;FIN DE SEMANA;MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA;22,23,24,25,26;1;A;
MEDELLIN;5;ANTIOQUIA;5001;MEDELLÍN;105001002780;INST EDUC SAN FRANCISCO DE ASIS;CL 56 16 18;2690520;FLOR DEISI AGUDELO DURANGO;INSTITUCION EDUCATIVA;OFICIAL;URBANA;MAÑANA,TARDE;PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA;0,1,2,3,4,5,6,7,8,9,10,11;1;A;ie.sanfranciscodeasi@medellin.gov.co
ANTIOQUIA;5;ANTIOQUIA;5079;BARBOSA;105079000406;I. E. PRESBITERO LUIS EDUARDO PEREZ MOLINA;CL 15 08 179;406 75 78;JHON JAIRO POSADA RESTREPO;INSTITUCION EDUCATIVA;OFICIAL;RURAL,URBANA;MAÑANA,COMPLETA,TARDE;PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA;0,1,2,3,4,5,6,7,8,9,10,11,99;6;A;pbrobarbosa@tareanet.edu.co
ANTIOQUIA;5;ANTIOQUIA;5148;EL CARMEN DE VIBORAL;305148000960;COLEGIO PEDAGOGICO SIGLO XXI  COCEP SIGLO XXI ;CRA. 31  37-02;543 20 44;ISPICO GALVAN YADIRIS ;CENTRO EDUCATIVO;NO OFICIAL;URBANA;FIN DE SEMANA;MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA;22,23,24,25,26;1;A;
MEDELLIN;5;ANTIOQUIA;5001;MEDELLÍN;205001002199;INST EDUC CARLOS ALBERTO CALDERON;VEREDA  EL LLANO;4273235;MARIA CECILIA POSADA CALLE;INSTITUCION EDUCATIVA;OFICIAL;RURAL;MAÑANA,TARDE;PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA;0,1,2,3,4,5,6,7,8,9,10,11;1;A;ie.carlosalbertocald@medellin.gov.co
ANTIOQUIA;5;ANTIOQUIA;5145;CARAMANTA;205145000522;C. E. R. CHIRAPOTO;VDA. CHIRAPOTO;8553358;PULGARIN MONTOYA ANGELA PATRICIA ;CENTRO EDUCATIVO;OFICIAL;;;;;0;A;cerchirapoto@tareanet.edu.co
ANTIOQUIA;5;ANTIOQUIA;5138;CAÑASGORDAS;205138000649;I. E. R. BERNARDO SIERRA;VDA CESTILLAL;8569047;CRUZ TORO ORLANDO ANTONIO;INSTITUCION EDUCATIVA;OFICIAL;RURAL;COMPLETA,NOCTURNA,FIN DE SEMANA;PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA;0,1,2,3,4,5,6,7,8,9,10,11,21,22,23,24,25,26;10;A;ierbersi@tareanet.edu.co
ANTIOQUIA;5;ANTIOQUIA;5145;CARAMANTA;205145000531;C. E. R. SAN PABLO;VDA. SAN PABLO;8553322;OSORIO GUEVARA GABRIELA PATRICIA (DOC.P.);CENTRO EDUCATIVO;OFICIAL;;;;;0;A;cersanpablo@tareanet.edu.co
MEDELLIN;5;ANTIOQUIA;5001;MEDELLÍN;305001022631;CORP ESC EMPRESARIAL DE EDUCACION;CL 52 39 50;2172690/2172690 Correo:cee@une.net.co;ROCIO ELENA CADAVID FERNANDEZ;INSTITUCION EDUCATIVA;NO OFICIAL;URBANA;MAÑANA,NOCTURNA,TARDE,FIN DE SEMANA;PREESCOLAR,BÁSICA SECUNDARIA,MEDIA,BÁSICA PRIMARIA;-1,0,1,2,3,4,5,6,7,8,9,10,11,21,22,23,24,25,26,99;1;A;eee@epm.net.co
MEDELLIN;5;ANTIOQUIA;5001;MEDELLÍN;305001022305;JARD INF EL ENCUENTRO;CL 12 SUR 16 107;3170774;LUCIA OCHOA HOYOS;CENTRO EDUCATIVO;NO OFICIAL;URBANA;MAÑANA,COMPLETA;PREESCOLAR;=-2-1;1;A;elencuentro@epm.net.co
ENVIGADO;5;ANTIOQUIA;5266;ENVIGADO;305266001466;COL FONTAN;IND  KM 17 ALTO DE LAS PALMAS VIA ARRAYANES  ENVIGADO;444 87 50;EMILIA GARCIA DE FONTAN;INSTITUCION EDUCATIVA;NO OFICIAL;URBANA;COMPLETA;PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA;-2,-1,0,1,2,3,4,5,6,7,8,9,10,11;1;A;colegiofontan@une.net.co
ANTIOQUIA;5;ANTIOQUIA;5686;SANTA ROSA DE OSOS;105686000440;I. E. ESCUELA NORMAL SUPERIOR PEDRO JUSTO BERRIO;CL 30 31 36;8608193;GOMEZ ORTIZ MARY LUZ;INSTITUCION EDUCATIVA;OFICIAL;RURAL,URBANA;COMPLETA,NOCTURNA;PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA;0,1,2,3,4,5,6,7,8,9,10,11,12,13,21;6;A;strons@edatel.net.co
TURBO;5;ANTIOQUIA;5837;TURBO;205837004161;I.E. PUNTA DE PIEDRA;VDA. PUNTA DE PIEDRA;827 32 73;ANGEL GRACIANO MACHADO LLOREDA;INSTITUCION EDUCATIVA;OFICIAL;RURAL;MAÑANA,TARDE,FIN DE SEMANA;PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA;0,1,2,3,4,5,6,7,8,9,10,11,20,21,22,23,24,25,26;4;A;iepuntadepiedra@turboeducado.edu.co
MEDELLIN;5;ANTIOQUIA;5001;MEDELLÍN;305001003947;CENT EDUCAL CONQUISTADORES;IND AVENIDA AGUAS FRIAS;3413765;VICKY VERA PERDOMO;INSTITUCION EDUCATIVA;NO OFICIAL;URBANA;MAÑANA,COMPLETA;PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA;-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,99;1;A;cec2@epm.net.co
