COLE_DEPTO_UBICACION,COLE_MCPIO_UBICACION,COD_MCPIO
Risaralda,Balboa (Ris),66075
Santander,Tona,68820
Norte de Santander,Labateca,54377
Antioquia,Armenia ,5059
Chocó,Bajo Baudó,27077
Santander,Pinchote,68549
La Guajira,El Molino,44110
Meta,El Castillo,50251
Norte de Santander,La Playa de Belén,54398
Cundinamarca,Nimaima,25489
Antioquia,Angelópolis,5036
Boyacá,Caldas (Boy),15131
Antioquia,Toledo ,5819
Nariño,La Llanada,52385
Santander,Florián,68271
Boyacá,Arcabuco,15051
Boyacá,Guayatá,15325
Cauca,Florencia (Cau),19290
Tolima,Casabianca,73152
Sucre,Chalán,70230
Nariño,Santa Cruz,52699
Antioquia,Olaya,5501
Antioquia,Yalí,5885
Antioquia,Buriticá,5113
Norte de Santander,Herrán,54347
Meta,Mesetas,50330
Chocó,El Cantón del San Pablo,27135
Santander,Jesús María,68368
Boyacá,Ciénega,15189
Santander,Valle de San José,68855
Huila,Colombia,41206
Boyacá,Macanal,15425
Boyacá,Pesca,15542
Meta,Barranca de Upía,50110
Santander,Onzaga,68502
Antioquia,Anzá,5044
Antioquia,Hispania,5353
Putumayo,Colón (Put),86219
Norte de Santander,Puerto Santander (N.S.),54553
Boyacá,Chitaraque,15185
Boyacá,Gámeza,15296
Boyacá,Floresta,15276
Chocó,Alto Baudó,27025
Caquetá,Albania ,18029
Meta,Puerto Concordia,50450
Atlántico,Piojó,8549
Boyacá,San Eduardo,15660
Cundinamarca,Vianí,25867
Valle del Cauca,Ulloa,76845
Cundinamarca,Gutiérrez,25339
Boyacá,Santa María (Boy),15690
Boyacá,Panqueba,15522
Boyacá,La Uvita,15403
Boyacá,Sativasur,15723
Tolima,Roncesvalles,73622
Cundinamarca,Nariño ,52480
Cundinamarca,Chaguaní,25168
Boyacá,Topagá,15820
Nariño,Mosquera (Nar),52473
Norte de Santander,Durania,54239
Nariño,Magüí,52427
Boyacá,El Espino,15248
Casanare,Támara,85400
Santander,Molagavita,68468
Caquetá,Solita,18785
Santander,Albania (Sder),68020
Caquetá,Valparaíso ,18860
Cundinamarca,Paime,25518
Norte de Santander,Pamplonita,54520
Boyacá,Boyacá,15104
Antioquia,Guadalupe ,5315
Boyacá,Tipacoque,15810
Tolima,Suárez (Tol),73770
Boyacá,Covarachía,15218
Antioquia,Alejandría,5021
Norte de Santander,San Cayetano (N.S.),54673
Santander,La Paz (Sder),68397
Santander,Betulia (Sder),68092
Norte de Santander,Ragonvalia,54599
Boyacá,San José de Pare,15664
Meta,Cabuyaro,50124
Chocó,Novita,27491
Santander,Coromoro,68217
Boyacá,Sora,15762
Nariño,Roberto Payán,52621
Norte de Santander,Santo Domingo de Silos,54743
Santander,Carcasí,68152
Nariño,Providencia (Nar),52565
Nariño,Contadero,52210
Nariño,El Rosario,52256
Boyacá,Corrales,15215
Boyacá,Sáchica,15638
Cundinamarca,Pandi,25524
Santander,San Miguel (Sder),68686
Boyacá,Gachantivá,15293
Antioquia,San José de la Montaña,5658
Boyacá,Toguí,15816
Quindío,Buenavista ,63111
Santander,Guavatá,68324
Cauca,Santa Rosa (Cau),19701
Santander,Macaravita,68425
Chocó,Bojayá,27099
Cauca,Sucre (Cau),19785
Antioquia,Campamento,5134
Chocó,San José del Palmar,27660
Santander,San José de Miranda,68684
Arauca,Cravo Norte,81220
Boyacá,Beteitiva,15092
Guaviare,Calamar (Guav),95015
Norte de Santander,Bucarasica,54109
Boyacá,Chinavita,15172
Cundinamarca,Tibirita,25807
Nariño,San Pedro de Cartago,52694
Santander,Ocamonte,68498
Santander,Páramo,68533
Huila,Altamira,41026
Arauca,Puerto Rondón,81591
Caquetá,Morelia,18479
Santander,San Benito,68673
Tolima,Murillo,73461
Cundinamarca,Beltrán,25086
Cundinamarca,Guataquí,25324
La Guajira,Uribia,50370
Boyacá,Rondón,15621
Chocó,Rio Iro,27580
Boyacá,Chivatá,15187
Cundinamarca,Gama,25299
Boyacá,Oicatá,15500
Caquetá,Solano,18756
Santander,Suratá,68780
Antioquia,San Francisco ,5652
Norte de Santander,Lourdes,54418
Bolívar,Montecristo,13458
Boyacá,Jericó (Boy),15368
Norte de Santander,San Calixto,54670
Cesar,González,20310
Huila,Elías,41244
Chocó,El Litoral del San Juan,27250
Norte de Santander,Villa Caro,54871
Boyacá,Coper,15212
Antioquia,Nariño ,25483
Boyacá,La Capilla,15380
Boyacá,Tinjacá,15808
Boyacá,Labranzagrande,15377
Norte de Santander,Mutiscua,54480
Norte de Santander,Santiago (N.S.),54680
Antioquia,Abriaquí,5004
Caldas,Marulanda,17446
Santander,Chipatá,68179
Cundinamarca,Jerusalén,25368
Antioquia,Briceño ,5107
Meta,El Calvario,50245
Boyacá,Chivor,15236
Vichada,Santa Rosalía,99624
Boyacá,Campohermoso,15135
Boyacá,Briceño (Boy),15106
Santander,Santa Helena del Opón,68720
Santander,Vetas,68867
Chocó,Medio Baudo,27430
Santander,San Joaquín,68682
Cauca,Piamonte,19533
Santander,California,68132
Boyacá,Cuítiva,15226
Santander,Palmas del Socorro,68524
Casanare,Chámeza,85015
Santander,Confines,68209
Norte de Santander,Hacarí,54344
Boyacá,Guacamayas,15317
Cundinamarca,Bituima,25095
Boyacá,Almeida,15022
Boyacá,Paya,15533
Santander,Chimá (Sder),68176
Santander,Guapotá,68322
Cundinamarca,Pulí,25580
Guainía,Barranco Minas,94343
Boyacá,Pajarito,15518
Meta,Mapiripán,50325
Santander,El Guacamayo,68245
Santander,Cepitá,68160
Santander,Charta,68169
Santander,Palmar,68522
Santander,Hato,68344
Guaviare,Miraflores (Guav),95200
Santander,Gámbita,68298
Chocó,Carmen Del Darien,27150
Santander,Aguada,68013
Amazonas,La Chorrera,91405
Boyacá,Berbeo,15090
Amazonas,Tarapacá,91798
Norte de Santander,Cácota,54125
Boyacá,Tunungua,15832
Boyacá,Izá,15362
Santander,Santa Bárbara (Sder),68705
Nariño,Santa Bárbara (Nar),52696
Santander,Cabrera (Sder),68121
Chocó,Juradó,27372
La Guajira,La Jagua Del Pilar,44420
Amazonas,La Pedrera,91407
Casanare,Sácama,85315
Santander,Encino,68264
Casanare,Recetor,85279
Boyacá,Pachavita,15511
Meta,San Juanito,50686
Antioquia,Murindó,5475
Bolívar,Norosi,13490
Amazonas,El Encanto,91263
Boyacá,La Victoria (Boy),15401
Casanare,La Salina,85136
Santander,Jordán,68370
Chocó,Sipí,27745
Vaupés,Yavaraté,97889
Boyacá,Pisba,15550
Amazonas,Puerto Santander (Ama),91669
Guainía,Mapiripana,94663
Chocó,Medio Atrato,27425
Guainía,San Felipe,94883
Vaupés,Pacoa,97511
Amazonas,Mirití-Paraná,91460
Boyacá,Busbanza,15114
Guainía,Morichal Nuevo,94888
